"id","type","unit_id","title","release_date","now_available"
1,"A","Pre","Pre-course assessment",,"True"
2,"U",1,"Introduction","available July 10","True"
3,"U",2,"Self management","available July 11","True"
4,"U",3,"Communication","available July 12","True"
5,"U",4,"Influencing others",,"True"
6,"A","Fin","Post-course assessment",,"True"
7,"O","http://www.youtube.com/watch?v=9bZkp7q19f0&feature=player_embedded","Gangnam Style!",,"True"
